"intercept_mean","e2_slope_mean","p4_slope_mean","mean_y","sd_y","accepted"
-0.4,-0.4,-0.5,-0.304405372302898,0.508398409308207,"yes"
-0.4,-0.1,-0.4,-0.311190840952328,0.520415588305236,"yes"
-0.4,0.4,-0.4,-0.312355276354771,0.483658526350687,"yes"
-0.4,0.4,0.4,-0.297378631048078,0.527491869254369,"yes"
-0.1,-0.5,-0.5,0.0283975522625762,0.566522025197421,"yes"
-0.1,-0.5,-0.4,-0.115336042914765,0.568127260756779,"yes"
-0.1,-0.5,-0.3,-0.125736173582739,0.506242124582939,"yes"
-0.1,-0.5,-0.2,-0.090379341466965,0.408098743194112,"yes"
-0.1,-0.5,-0.1,-0.117909428268418,0.49754847734269,"yes"
-0.1,-0.5,0,-0.0688455365372785,0.484694273226525,"yes"
-0.1,-0.5,0.1,-0.111174120487017,0.51240648575736,"yes"
-0.1,-0.5,0.2,-0.0581950992187793,0.571453083311006,"yes"
-0.1,-0.5,0.3,-0.0619322595259458,0.489774776794892,"yes"
-0.1,-0.5,0.4,-0.174591384496826,0.522442554582312,"yes"
-0.1,-0.5,0.5,-0.0948385781602865,0.498910110190398,"yes"
-0.1,-0.4,-0.5,-0.108240966272635,0.510880577678423,"yes"
-0.1,-0.4,-0.4,-0.103767477295387,0.567288578907696,"yes"
-0.1,-0.4,-0.3,-0.153195282003978,0.468740132509695,"yes"
-0.1,-0.4,-0.2,-0.0568009442730769,0.521309797445942,"yes"
-0.1,-0.4,-0.1,-0.0737387707408015,0.464591011771952,"yes"
-0.1,-0.4,0,-0.015331586424903,0.491678254553049,"yes"
-0.1,-0.4,0.1,-0.0785772572884477,0.414606894290638,"yes"
-0.1,-0.4,0.2,-0.0936079319404693,0.490297079958752,"yes"
-0.1,-0.4,0.3,-0.0471787665241955,0.468179991892078,"yes"
-0.1,-0.4,0.4,-0.152674498017555,0.577338026634451,"yes"
-0.1,-0.4,0.5,-0.0976044046008209,0.501996756979714,"yes"
-0.1,-0.3,-0.5,-0.0915834110390514,0.52235448126913,"yes"
-0.1,-0.3,-0.4,-0.0905328452848656,0.47240707237017,"yes"
-0.1,-0.3,-0.3,-0.10968296244029,0.531747853023479,"yes"
-0.1,-0.3,-0.2,-0.0361278444070346,0.422617548577202,"yes"
-0.1,-0.3,-0.1,-0.123160486970216,0.447936257967579,"yes"
-0.1,-0.3,0,-0.0669062203745289,0.410587439175009,"yes"
-0.1,-0.3,0.1,-0.0657636401278174,0.405604877590757,"yes"
-0.1,-0.3,0.2,-0.148519811611359,0.403165379866836,"yes"
-0.1,-0.3,0.3,-0.208327839325199,0.461218052267692,"yes"
-0.1,-0.3,0.4,-0.180236004827065,0.546963614911286,"yes"
-0.1,-0.3,0.5,-0.108081653764157,0.478675779167435,"yes"
-0.1,-0.2,-0.5,-0.0745823860046558,0.510631711939351,"yes"
-0.1,-0.2,-0.4,-0.132055195421303,0.50525056196178,"yes"
-0.1,-0.2,-0.3,-0.176506870983152,0.480331746809324,"yes"
-0.1,-0.2,-0.2,-0.0795992977599579,0.43944957755075,"yes"
-0.1,-0.2,-0.1,-0.122981854025207,0.406086067742172,"yes"
-0.1,-0.2,0,-0.114401077047801,0.39536978901797,"yes"
-0.1,-0.2,0.1,-0.126964932235442,0.490209754528808,"yes"
-0.1,-0.2,0.2,-0.123307284733922,0.413659308034736,"yes"
-0.1,-0.2,0.3,-0.0718220249790056,0.429967310637097,"yes"
-0.1,-0.2,0.4,-0.0685277565431007,0.477062241913284,"yes"
-0.1,-0.2,0.5,-0.0190340507061024,0.559986094235495,"yes"
-0.1,-0.1,-0.5,-0.14488267254183,0.4898230053057,"yes"
-0.1,-0.1,-0.4,-0.103844905812438,0.517461185461908,"yes"
-0.1,-0.1,-0.3,-0.0615007483920824,0.431956944729477,"yes"
-0.1,-0.1,-0.2,-0.0984763905388721,0.397959051232042,"yes"
-0.1,-0.1,-0.1,-0.10917971238429,0.453080228065551,"yes"
-0.1,-0.1,0,-0.159882732117612,0.432832699318914,"yes"
-0.1,-0.1,0.1,-0.109326506356594,0.404617908314582,"yes"
-0.1,-0.1,0.2,-0.049553411301373,0.422026131735212,"yes"
-0.1,-0.1,0.3,-0.0883278875284239,0.478875085553398,"yes"
-0.1,-0.1,0.4,-0.100798284074097,0.474359582625531,"yes"
-0.1,-0.1,0.5,-0.0653180696496942,0.544590310602321,"yes"
-0.1,0,-0.5,-0.0746128205055924,0.51058612430313,"yes"
-0.1,0,-0.4,-0.121690528484652,0.453226025339092,"yes"
-0.1,0,-0.3,-0.103809519536634,0.385572335569267,"yes"
-0.1,0,-0.2,-0.0789228884733141,0.369922513902281,"yes"
-0.1,0,-0.1,-0.115795519399536,0.359359032559149,"yes"
-0.1,0,0,-0.101321062529665,0.322917701318554,"yes"
-0.1,0,0.1,-0.083248226271816,0.433866296849082,"yes"
-0.1,0,0.2,-0.132618784413278,0.403130014397738,"yes"
-0.1,0,0.3,-0.152261492956066,0.430233819320386,"yes"
-0.1,0,0.4,-0.040332780951511,0.448850548120375,"yes"
-0.1,0,0.5,-0.0337011052154855,0.434504701078356,"yes"
-0.1,0.1,-0.5,-0.0212035776415987,0.497752283560102,"yes"
-0.1,0.1,-0.4,-0.100519331634634,0.521939244862013,"yes"
-0.1,0.1,-0.3,-0.116414790374841,0.444098241179538,"yes"
-0.1,0.1,-0.2,-0.108272282825688,0.452766914477011,"yes"
-0.1,0.1,-0.1,-0.139347697837849,0.389576020377969,"yes"
-0.1,0.1,0,-0.139205648650607,0.397924392155922,"yes"
-0.1,0.1,0.1,-0.11738191976961,0.415592932554558,"yes"
-0.1,0.1,0.2,-0.0734757463317481,0.438292018510452,"yes"
-0.1,0.1,0.3,-0.200546797354743,0.469118399660382,"yes"
-0.1,0.1,0.4,-0.133325951735684,0.483099675631012,"yes"
-0.1,0.1,0.5,-0.0738965659978431,0.522739631710524,"yes"
-0.1,0.2,-0.5,-0.0167528901071585,0.499011167003031,"yes"
-0.1,0.2,-0.4,-0.0696670873737936,0.542367014917395,"yes"
-0.1,0.2,-0.3,-0.0722864828140663,0.467194982420311,"yes"
-0.1,0.2,-0.2,-0.172664579052742,0.380950948929319,"yes"
-0.1,0.2,-0.1,-0.134012920283459,0.426915174864045,"yes"
-0.1,0.2,0,-0.0711335781914755,0.349248853509206,"yes"
-0.1,0.2,0.1,-0.156006331306803,0.428677035299641,"yes"
-0.1,0.2,0.2,-0.0686227824725822,0.404027522904678,"yes"
-0.1,0.2,0.3,-0.0991305745482871,0.426965710931742,"yes"
-0.1,0.2,0.4,-0.133363948927768,0.526410753062791,"yes"
-0.1,0.2,0.5,-0.0529543580078722,0.478991565099238,"yes"
-0.1,0.3,-0.5,-0.0756282621425953,0.518080882052237,"yes"
-0.1,0.3,-0.4,-0.172680439547573,0.468176498623412,"yes"
-0.1,0.3,-0.3,-0.0432587185034997,0.462045276186093,"yes"
-0.1,0.3,-0.2,-0.0778464717105321,0.451145816365336,"yes"
-0.1,0.3,-0.1,-0.0550626607799984,0.420828215437067,"yes"
-0.1,0.3,0,-0.0520564133068381,0.431304390452162,"yes"
-0.1,0.3,0.1,-0.172171884962694,0.422013744629744,"yes"
-0.1,0.3,0.2,-0.049749120288097,0.46007235933474,"yes"
-0.1,0.3,0.3,-0.146387561647359,0.454270834253046,"yes"
-0.1,0.3,0.4,-0.100210016853993,0.542320884487675,"yes"
-0.1,0.3,0.5,-0.0334852124726453,0.495170106439204,"yes"
-0.1,0.4,-0.5,-0.0955312441600723,0.499975308086684,"yes"
-0.1,0.4,-0.4,-0.0716711558492224,0.501019679252288,"yes"
-0.1,0.4,-0.3,-0.117132843893068,0.58680870088239,"yes"
-0.1,0.4,-0.2,-0.0686767707004498,0.518280914253874,"yes"
-0.1,0.4,-0.1,-0.134252389276351,0.464628357008585,"yes"
-0.1,0.4,0,-0.0990572456438805,0.436833105895715,"yes"
-0.1,0.4,0.1,-0.0834859356329571,0.495753538081221,"yes"
-0.1,0.4,0.2,-0.0866973632253688,0.486200827793921,"yes"
-0.1,0.4,0.3,0.0150950930513855,0.495864998368356,"yes"
-0.1,0.4,0.4,-0.0244486622269731,0.508545505714026,"yes"
-0.1,0.4,0.5,-0.0656929662466998,0.577318643543372,"yes"
-0.1,0.5,-0.5,-0.196165146774134,0.588030397082689,"yes"
-0.1,0.5,-0.4,-0.192846786532112,0.51961687382833,"yes"
-0.1,0.5,-0.3,-0.0901076366923849,0.484048173286189,"yes"
-0.1,0.5,-0.2,-0.180407204170908,0.53413570434243,"yes"
-0.1,0.5,-0.1,-0.157798178419288,0.418899272332575,"yes"
-0.1,0.5,0,-0.0689677962315733,0.494877052115567,"yes"
-0.1,0.5,0.1,-0.0580118894325575,0.51984886624477,"yes"
